zh,profession,rarity,en,ja,id,sex,birth_place,team,logo,race,nation,group,hp,atk,def,res,re_deploy,cost,block,interval,position,tag,obtain_method,potential,trust,phy,flex,tolerance,plan,skill,adapt,sortid,subprofession,description
普罗旺斯,狙击,4,Provence,プロヴァンス,SR03,女,叙拉古,,叙拉古,鲁珀,叙拉古,,1680,781,215,0,70s,15→17→19,1,1.6s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,30,,-1","0,90,0",普通,优良,普通,标准,优良,标准,65,重射手,高精度的近距离射击
暗索,特种,3,Rope,ロープ,RB02,女,雷姆必拓,,炎-龙门,卡特斯,炎-龙门,,1720,728,325,0,70s,10→12,2,1.8s,近战位,位移,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,22,,-1","0,0,60",标准,优良,标准,标准,标准,标准,35,钩索师,技能可以使敌人产生位移可以放置于远程位
暮落,重装,4,Shalem,シャレム,VC07,男,维多利亚,,维多利亚,斐迪亚,维多利亚,,3090,649,550,15,70s,21→23→25,3,1.6s,近战位,输出 防护,活动获得,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,80,0",标准,标准,标准,标准,优良,标准,218,驭法铁卫,技能开启时普通攻击会造成法术伤害
暴行,近卫,4,Savage,サベージ,RB01,女,雷姆必拓,,雷姆必拓,卡特斯,雷姆必拓,,2430,705,320,0,70s,18→20→22,2→2→3,1.2s,近战位,群攻 爆发,"预约奖励, 周年奖励","atk,hp,def,interval,res`35,250,35,8,8","0,0,40",优良,标准,优良,普通,标准,标准,83,强攻手,同时攻击阻挡的所有敌人
暴雨,重装,4,Heavyrain,ヘビーレイン,R164,女,萨尔贡,,罗德岛,库兰塔,罗德岛,,3380,378,721,0,80s,20→22→24,3,1.2s,近战位,防护 支援,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","350,0,35",优良,标准,标准,标准,标准,普通,187,铁卫,能够阻挡三个敌人
月禾,辅助,4,Tsukinogi,ツキノギ,R129,女,东国,,东,埃拉菲亚,东,,1720,445,175,25,70s,10→12,1,1.6s,远程位,支援 生存,"公开招募, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,160,,-1","300,40,0",普通,优良,标准,标准,普通,优良,139,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
月见夜,近卫,2,Midnight,ミッドナイト,PA62,男,东国,行动预备组A6,行动预备组A6,萨卡兹,罗德岛,,1653,497,282,10,70s,14→16,2,1.3s,近战位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,22,,-1","0,50,0",标准,标准,优良,普通,标准,优良,85,领主,可以进行远程攻击，但此时攻击力降低至80%
末药,医疗,3,Myrrh,ミルラ,R104,女,未公开,,罗德岛,沃尔珀,罗德岛,,1420,465,131,0,70s,16→18,1,2.85s,远程位,治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,60,0",普通,标准,普通,普通,普通,标准,36,医师,恢复友方单位生命
杏仁,特种,4,Almond,アーモンド,BS05,女,哥伦比亚,,黑钢国际,佩洛,哥伦比亚,黑钢国际,2130,695,410,0,70s,11→13,2,1.8s,近战位,位移,标准寻访,"cost,re_deploy,def,,cost`-1,-4,20,,-1","200,0,45",普通,普通,标准,标准,标准,普通,295,钩索师,技能可以使敌人产生位移可以放置于远程位
杜宾,近卫,3,Dobermann,ドーベルマン,R100,女,玻利瓦尔,,罗德岛,佩洛,罗德岛,,2024,602,382,0,70s,13→15,2,1.05s,近战位,输出 支援,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,150,,-1","0,30,30",标准,标准,标准,优良,优良,标准,29,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%
杜林,术师,1,Durin,ドゥリン,A44,女,未公开,行动组A4,行动组A4,杜林,罗德岛,,952,340,62,10,70s,12,1,1.6s,远程位,新手,"公开招募, 主线剧情","cost,hp,re_deploy,hp,cost`-1,50,-5,50,-1","0,30,0",缺陷,普通,缺陷,普通,普通,优良,6,中坚术师,攻击造成法术伤害
杰克,近卫,3,Jackie,ジャッキー,R166,女,哥伦比亚,,哥伦比亚,佩洛,哥伦比亚,,2378,529,308,0,70s,7→9,1,0.78s,近战位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,21,,-1","0,60,0",优良,标准,标准,普通,普通,标准,166,斗士,能够阻挡一个敌人
杰西卡,狙击,3,Jessica,ジェシカ,BS03,女,维多利亚,,黑钢国际,菲林,哥伦比亚,黑钢国际,1320,475,154,0,70s,10→12,1,1.0s,远程位,输出 生存,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,re_deploy,cost`-1,-4,24,-6,-1","0,65,0",标准,标准,优良,普通,标准,普通,23,速射手,优先攻击空中单位
松果,狙击,3,Pinecone,パインコーン,CB09,女,哥伦比亚,,哥伦比亚,黎博利,哥伦比亚,,2200,667,167,0,70s,27→30,1,2.3s,远程位,群攻 输出,"标准寻访, 中坚寻访, 公开招募","cost,re_deploy,atk,,cost`-1,-4,28,,-1","0,55,0",普通,标准,标准,普通,标准,普通,171,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%
松桐,先锋,4,Matsukiri,,HK17,男,东国,,东,鲁珀,东,,2002,600,400,15,80s,12→14,2,1.2s,近战位,费用回复 支援,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,50,20",普通,标准,标准,优良,标准,普通,380,策士,能够阻挡两个敌人，可以支援待部署区的我方单位
极光,重装,4,Aurora,オーロラ,JC09,女,谢拉格,,喀兰贸易,乌萨斯,谢拉格,喀兰贸易,4027,901,640,0,70s,28→30→32,1,1.6s,近战位,输出 防护,中坚寻访,"cost,re_deploy,def,,cost`-1,-4,27,,-1","0,55,55",标准,普通,优良,标准,标准,普通,216,决战者,只有阻挡敌人时才能够回复技力
极境,先锋,4,Elysium,エリジウム,R131,男,伊比利亚,,罗德岛,黎博利,罗德岛,,1669,533,335,0,70s,9→11,1,1.3s,近战位,费用回复 支援,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,23,,-1","0,0,60",普通,优良,普通,标准,优良,标准,135,执旗手,技能发动期间阻挡数变为0
林,术师,5,Lin,リン,LM21,女,龙门,,炎-龙门,札拉克,炎-龙门,,2048,849,242,15,70s,22→24,1,2.0s,远程位,群攻 防护,标准寻访,"cost,,atk,,cost`-1,,34,,-1","0,70,40",标准,优良,标准,标准,优良,卓越,267,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
柏喙,近卫,4,Bibeak,バイビーク,R138,女,萨米,,萨米,黎博利,萨米,,2550,602,332,0,70s,18→20→22,2,1.3s,近战位,爆发 输出,"活动获得, 凭证交易所(高级/通用)","cost,re_deploy,atk,,cost`-1,-4,22,,-1","0,80,0",普通,标准,普通,普通,标准,普通,126,剑豪,普通攻击连续造成两次伤害
格劳克斯,辅助,4,Glaucus,グラウコス,R128,女,阿戈尔地区,,伊比利亚,未公开,伊比利亚,,1267,505,100,20,70s,13→15,1,1.9s,远程位,减速 控场,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","300,35,0",普通,普通,优良,优良,标准,普通,97,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
格拉尼,先锋,4,Grani,グラニ,VC05,女,维多利亚,,维多利亚,库兰塔,维多利亚,,2235,552,367,0,80s,12→14,1,1.0s,近战位,费用回复 防护,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,0,70",标准,优良,标准,标准,优良,普通,88,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
格雷伊,术师,3,Greyy,グレイ,R119,男,玻利瓦尔,,玻利瓦尔,佩洛,玻利瓦尔,,1537,699,130,20,70s,29→32,1,2.9s,远程位,群攻 减速,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,interval,re_deploy,cost`-1,-4,6,-6,-1","300,0,0",普通,标准,普通,普通,普通,标准,92,扩散术师,攻击造成群体法术伤害
桃金娘,先锋,3,Myrtle,テンニンカ,R108,女,未公开,,罗德岛,杜林,罗德岛,,1565,520,300,0,70s,8→10,1,1.3s,近战位,费用回复 治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,22,,-1","0,0,50",标准,标准,标准,优良,标准,标准,99,执旗手,技能发动期间阻挡数变为0
桑葚,医疗,4,Mulberry,マルベリー,YD03,女,炎,,炎,黎博利,炎,,1367,388,99,10,70s,13→15,1,2.85s,远程位,治疗,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,19,,-1","150,35,0",普通,标准,普通,普通,普通,标准,204,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤（可以回复未受伤友方单位的元素损伤）
梅,狙击,3,May,メイ,VC01,女,维多利亚,,维多利亚,黎博利,维多利亚,,1632,478,105,0,70s,10→12,1,1.0s,远程位,输出 减速,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,65,0",标准,标准,普通,优良,标准,普通,109,速射手,优先攻击空中单位
梅尔,辅助,4,Mayer,メイヤー,RL05,女,哥伦比亚,,莱茵生命,阿纳缇,哥伦比亚,莱茵生命,1068,443,130,20,70s,9→11,1,1.6s,远程位,召唤 控场,"公开招募, 中坚寻访","cost,re_deploy,res,re_deploy,cost`-1,-4,8,-6,-1","200,35,0",普通,标准,标准,优良,标准,普通,57,召唤师,攻击造成法术伤害可以使用召唤物协助作战
梓兰,辅助,2,Orchid,オーキッド,PA61,女,哥伦比亚,行动预备组A6,行动预备组A6,黎博利,罗德岛,,935,378,83,15,70s,10→12,1,1.9s,远程位,减速,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,re_deploy,cost`-1,-4,19,-6,-1","0,40,0",普通,普通,普通,标准,标准,优良,20,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
棘刺,近卫,5,Thorns,ソーンズ,II01,男,伊比利亚,,伊比利亚,阿戈尔,伊比利亚,,2612,711,402,10,70s,18→20,2,1.3s,近战位,输出 防护,"公开招募, 中坚寻访","cost,,atk,,cost`-1,,26,,-1","0,30,70",优良,标准,标准,标准,优良,标准,153,领主,可以进行远程攻击，但此时攻击力降低至80%
森蚺,重装,5,Eunectes,ユーネクテス,SG03,女,萨尔贡,,萨尔贡,斐迪亚,萨尔贡,,4468,1007,615,0,70s,29→31→33,1,1.6s,近战位,输出 生存 防护,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,27,,-1","0,70,70",优良,标准,优良,普通,标准,标准,157,决战者,只有阻挡敌人时才能够回复技力
森西,重装,4,Senshi,センシ,DD04,男,伊兹甘达（自称）,莱欧斯小队,莱欧斯小队,矮人（自称）,,,2770,470,580,10,80s,19→21→23,2→3→3,1.2s,近战位,防护 治疗,活动获得,"cost,re_deploy,cost,def,cost`-1,-10,-1,25,-1","0,40,40",标准,普通,优良,普通,普通,■■,341,守护者,技能可以治疗友方单位
槐琥,特种,4,Waai Fu,ワイフー,LM12,女,炎,鲤氏侦探事务所,鲤氏侦探事务所,菲林,炎-龙门,,1455,536,304,0,18s,7→9,1,0.93s,近战位,快速复活 削弱,"公开招募, 中坚寻访","cost,def,re_deploy,,cost`-1,19,-2,,-1","0,50,30",优良,优良,标准,标准,优良,普通,111,处决者,再部署时间大幅度减少
歌蕾蒂娅,特种,5,Gladiia,グレイディーア,AA05,女,阿戈尔,,深海猎人,未公开,阿戈尔,深海猎人,2309,801,331,0,80s,14→16,2,1.8s,近战位,位移 输出 控场,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,50,50",卓越,■■,卓越,优良,卓越,缺陷,191,钩索师,技能可以使敌人产生位移可以放置于远程位
止颂,近卫,5,Lessing,レッシング,LN07,男,莱塔尼亚,,莱塔尼亚,卡普里尼,莱塔尼亚,,3682,1044,277,0,80s,19→21,1,1.5s,近战位,输出,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,85,0",优良,标准,优良,标准,标准,标准,304,无畏者,能够阻挡一个敌人
正义骑士号,狙击,0,"""Justice Knight""",ジャスティスナイト,KZ15,女,,,红松骑士团,,卡西米尔,红松骑士团,495,172,41,0,200s,3,1,1.0s,远程位,支援机械 支援,"公开招募, 活动获得",`,"100,45,0",,,,,,,208,速射手,优先攻击空中单位，且不受部署数量限制，但再部署时间极长
死芒,术师,5,Necrass,ネクラス,DB01,女,维多利亚,,塔拉,德拉克,维多利亚,塔拉,1924,633,133,20,70s,19→21,1,1.6s,远程位,召唤 输出,标准寻访,"cost,,atk,re_deploy,cost`-1,,27,-6,-1","0,45,45",标准,优良,普通,优良,优良,■■,365,塑灵术师,攻击造成法术伤害，可以通过击倒敌人生成召唤物，可攻击到自身召唤物阻挡的敌人
水月,特种,5,Mizuki,ミヅキ,HK07,男,东国,,东,阿戈尔,东,,1758,865,356,30,70s,19→21,0,3.5s,近战位,输出 控场,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,110,0",标准,普通,标准,普通,普通,缺陷,201,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
水灯心,狙击,4,Brigid,ブリギッド,DB04,女,维多利亚,,塔拉,佩洛,维多利亚,塔拉,2350,640,165,0,80s,15→17,1,1.0s,远程位,输出,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,75,0",普通,优良,标准,普通,标准,标准,363,回环射手,持有回旋投射物时才能够攻击（投射物需要时间回收）
泡普卡,近卫,2,Popukar,ポプカル,PA65,女,雷姆必拓,行动预备组A6,行动预备组A6,卡特斯,罗德岛,,1858,495,245,0,70s,17→19,2,1.2s,近战位,群攻 生存,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,50,0",优良,普通,普通,普通,普通,标准,90,强攻手,同时攻击阻挡的所有敌人
泡泡,重装,3,Bubble,バブル,R146,女,萨尔贡,,萨尔贡,塞拉托,萨尔贡,,3416,370,645,0,70s,17→19→21,3,1.2s,近战位,防护,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,def,re_deploy,cost`-1,-4,25,-6,-1","0,0,75",优良,普通,优良,普通,缺陷,标准,162,铁卫,能够阻挡三个敌人
波卜,辅助,4,Bobbing,ボビング,CB32,男,哥伦比亚,,哥伦比亚,佩洛,哥伦比亚,,1305,446,68,15,70s,13→15,1,1.6s,远程位,元素,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,21,,-1","0,40,40",标准,普通,标准,标准,普通,优良,346,巫役,攻击造成法术伤害，可以造成元素损伤
波登可,辅助,3,Podenco,ポデンコ,R157,女,玻利瓦尔,,罗德岛,佩洛,罗德岛,,1163,492,96,20,70s,12→14,1,1.9s,远程位,减速 治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,21,,-1","0,50,0",普通,标准,普通,普通,普通,普通,140,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
泥岩,重装,5,Mudrock,マドロック,R159,女,卡兹戴尔,,罗德岛,萨卡兹,罗德岛,,3928,882,602,10,70s,32→34→36,2→3→3,1.6s,近战位,生存 防护 输出,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,29,,-1","500,0,60",优良,普通,优良,标准,标准,优良,168,不屈者,无法被友方角色治疗
泰拉大陆调查团,狙击,0,Terra Research Commission,テラ大陸調査団,MH01,未知,未知,,罗德岛,未公开,罗德岛,,518,276,51,0,200s,3,1,2.1s,远程位,控场,活动获得,`,"100,30,0",普通,优良,普通,普通,普通,■■,271,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半），且不受部署数量限制，但再部署时间极长
洋灰,重装,4,Cement,セメント,RB11,女,雷姆必拓,,雷姆必拓,札拉克,雷姆必拓,,3642,1002,628,0,70s,28→30→32,1,1.6s,近战位,防护,标准寻访,"cost,re_deploy,def,,cost`-1,-4,27,,-1","0,40,60",优良,普通,优良,标准,普通,标准,277,决战者,只有阻挡敌人时才能够回复技力
洛洛,术师,4,Rockrock,ロックロック,VC18,女,维多利亚,,维多利亚,菲林,维多利亚,,1468,320,123,20,70s,19→21,1,1.3s,远程位,输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,60,0",标准,标准,标准,优良,标准,标准,231,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）
流明,医疗,5,Lumen,ルーメン,II09,男,伊比利亚,,伊比利亚,阿戈尔,伊比利亚,,1825,540,111,10,80s,21→23,1,2.85s,远程位,治疗 支援,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,45,30",普通,普通,标准,标准,普通,普通,234,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%
流星,狙击,3,Meteor,メテオ,ST02,女,卡西米尔,,卡西米尔,库兰塔,卡西米尔,,1370,465,165,0,70s,10→12,1,1.0s,远程位,输出 削弱,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,65,0",标准,优良,普通,普通,标准,标准,24,速射手,优先攻击空中单位
浊心斯卡蒂,辅助,5,Skadi the Corrupting Heart,濁心スカジ,CR01,女,阿戈尔,,阿戈尔,未公开,阿戈尔,,1603,368,233,0,70s,6→8,1,1.3s,远程位,支援 生存 输出,限定寻访,"cost,re_deploy,atk,,cost`-1,-6,27,,-1","0,50,30",优良,优良,卓越,——,——,缺陷,193,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞影响
海沫,近卫,4,Highmore,ハイモア,II10,女,伊比利亚,,伊比利亚,阿戈尔,伊比利亚,,2120,670,454,0,70s,19→20→22,1→2→2,1.3s,近战位,输出,活动获得,"cost,re_deploy,hp,,cost`-1,-4,160,,-1","250,40,0",优良,标准,卓越,普通,标准,缺陷,251,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数
海蒂,辅助,4,Heidi,ハイディ,VC19,女,维多利亚,,维多利亚,菲林,维多利亚,,1260,320,268,0,80s,7→9,1,1.3s,远程位,支援 治疗,主线剧情,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","250,40,0",普通,普通,普通,优良,普通,普通,230,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞影响
海霓,辅助,4,Lucilla,ルシーラ,AE05,女,阿戈尔,,阿戈尔,阿戈尔,阿戈尔,,1625,440,103,25,70s,10→12,1,1.6s,远程位,削弱,标准寻访,"cost,re_deploy,res,,cost`-1,-4,8,,-1","0,65,0",普通,普通,普通,标准,标准,缺陷,332,削弱者,攻击造成法术伤害
涤火杰西卡,重装,5,Jessica the Liberated,滌火ジェシカ,BS30,女,维多利亚,,黑钢国际,菲林,哥伦比亚,黑钢国际,3608,522,716,0,70s,19→21→23,3,1.2s,近战位,防护 生存 输出,标准寻访,"cost,,atk,,cost`-1,,28,,-1","0,60,60",优良,优良,优良,标准,标准,标准,296,哨戒铁卫,能够阻挡三个敌人，可以进行远程攻击
淬羽赫默,辅助,5,Silence the Paradigmatic,淬羽サイレンス,RL10,女,哥伦比亚,,莱茵生命,黎博利,哥伦比亚,莱茵生命,1927,467,184,25,80s,13→15,1,1.6s,远程位,支援 生存 治疗,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","350,55,0",普通,标准,普通,优良,标准,优良,280,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
深巡,重装,4,Underflow,アンダーフロー,AE03,女,阿戈尔,,阿戈尔,阿戈尔,阿戈尔,,3253,439,696,0,80s,20→22→24,3,1.2s,近战位,防护 输出 减速,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,45,45",标准,标准,优良,优良,标准,缺陷,331,哨戒铁卫,能够阻挡三个敌人，可以进行远程攻击
深律,重装,4,Bassline,ベースライン,LN13,男,莱塔尼亚,,莱塔尼亚,鲁珀,莱塔尼亚,,2770,473,570,10,70s,17→19→21,2→3→3,1.2s,近战位,防护 治疗,标准寻访,"cost,re_deploy,def,hp,cost`-1,-4,25,200,-1","0,50,30",标准,标准,标准,优良,标准,优良,303,守护者,技能可以治疗友方单位
深海色,辅助,3,Deepcolor,ディピカ,AA04,女,未公开,,阿戈尔,未公开,阿戈尔,,1050,403,125,15,70s,8→10,1,1.6s,远程位,召唤,"标准寻访, 中坚寻访","cost,re_deploy,interval,re_deploy,cost`-1,-4,8,-6,-1","300,0,0",普通,普通,普通,标准,标准,优良,42,召唤师,攻击造成法术伤害可以使用召唤物协助作战
深靛,术师,3,Indigo,インディゴ,II05,女,伊比利亚,,伊比利亚,斐迪亚,伊比利亚,,1435,1116,117,20,70s,21→23,1,3.0s,远程位,输出 控场,"标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,36,,-1","0,100,0",标准,普通,优良,普通,普通,标准,194,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）
清流,医疗,3,Purestream,セイリュウ,R160,女,炎,,炎,阿戈尔,炎,,1365,454,118,10,80s,17→19,1,2.85s,远程位,治疗 支援,"限时礼包, 公开招募","cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","150,35,0",普通,标准,普通,普通,普通,优良,124,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%
清道夫,先锋,3,Scavenger,スカベンジャー,SW02,女,未公开,,S.W.E.E.P.,札拉克,罗德岛,S.W.E.E.P.,1835,470,310,0,70s,10→12,2,1.05s,近战位,费用回复 输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,60,0",优良,普通,普通,普通,优良,标准,27,尖兵,能够阻挡两个敌人
渡桥,先锋,4,Mitm,ミトム,R184,男,卡兹戴尔,,罗德岛,萨卡兹,罗德岛,,1370,495,122,0,70s,12→14,1,1.0s,远程位,费用回复 爆发,标准寻访,"cost,re_deploy,interval,re_deploy,cost`-1,-4,8,-6,-1","0,60,0",标准,普通,普通,标准,标准,标准,334,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
温米,术师,4,Warmy,ウォーミー,RB14,女,雷姆必拓,,雷姆必拓,卡特斯,雷姆必拓,,1358,581,106,15,70s,18→20,1,1.6s,远程位,元素 爆发,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,65,0",普通,普通,标准,普通,标准,优良,310,本源术师,攻击造成法术伤害，可以造成元素伤害
温蒂,特种,5,Weedy,ウィーディ,R117,女,伊比利亚,,罗德岛,阿戈尔,罗德岛,,2133,677,394,0,70s,19→21,2,1.2s,近战位,位移 输出 控场,"公开招募, 中坚寻访","cost,re_deploy,interval,hp,cost`-1,-4,8,140,-1","0,45,45",标准,标准,普通,优良,标准,标准,136,推击手,同时攻击阻挡的所有敌人可以放置于远程位
溯光星源,辅助,5,Astgenne the Lightchaser,,RL12,女,哥伦比亚,,莱茵生命,黎博利,哥伦比亚,莱茵生命,1420,533,125,25,80s,16→18,1,1.9s,远程位,减速 支援 输出,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,75,0",普通,标准,标准,标准,标准,标准,395,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
澄闪,术师,5,Goldenglow,ゴールデングロー,VC09,女,维多利亚,,维多利亚,菲林,维多利亚,,1480,331,125,20,70s,20→22,1,1.3s,远程位,输出,标准寻访,"cost,,atk,cost,`-1,,25,-1,","0,60,0",普通,普通,普通,普通,普通,优良,225,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）
濯尘芙蓉,医疗,4,Hibiscus the Purifier,濯塵ハイビスカス,RF03,女,维多利亚,,罗德岛,萨卡兹,罗德岛,,1508,511,109,20,70s,15→17,1,1.6s,远程位,治疗,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,22,,-1","0,60,0",普通,标准,标准,优良,普通,优良,239,咒愈师,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值
火哨,重装,4,Firewhistle,ファイヤーホイッスル,RB09,女,雷姆必拓,,雷姆必拓,黎博利,雷姆必拓,,2983,882,568,0,70s,23→25→27,2→3→3,2.8s,近战位,输出 防护,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,50,50",优良,标准,标准,优良,标准,普通,266,要塞,不阻挡敌人时优先远程群体物理攻击
火神,重装,4,Vulcan,ヴァルカン,MN02,女,米诺斯,,米诺斯,丰蹄,米诺斯,,3688,820,585,10,70s,31→33→35,2→3→3,1.6s,近战位,生存 防护 输出,公开招募,"cost,re_deploy,hp,,cost`-1,-4,250,,-1","400,50,0",优良,标准,优良,标准,标准,标准,64,不屈者,无法被友方角色治疗
火龙S黑角,近卫,4,Rathalos S Noir Corne,レウスSノイルホーン,MH03,男,东国,行动组A4,行动组A4,鬼,罗德岛,,3518,726,351,0,70s,21→23→25,1,1.2s,近战位,生存 输出,联动寻访,"cost,re_deploy,interval,re_deploy,cost`-1,-4,5,-6,-1","0,40,40",优良,普通,优良,普通,优良,标准,272,武者,不成为其他角色的治疗目标，每次攻击到敌人后回复自身70生命
灰喉,狙击,4,GreyThroat,グレースロート,R110,女,未公开,,罗德岛,黎博利,罗德岛,,1493,513,152,0,70s,11→13,1,1.0s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","0,75,0",标准,优良,普通,标准,优良,普通,116,速射手,优先攻击空中单位
灰毫,重装,4,Ashlock,アッシュロック,KZ12,女,卡西米尔,,红松骑士团,札拉克,卡西米尔,红松骑士团,3207,865,541,0,70s,23→25→27,2→3→3,2.8s,近战位,输出 防护,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,50,50",优良,标准,优良,标准,标准,标准,206,要塞,不阻挡敌人时优先远程群体物理攻击
灰烬,狙击,5,Ash,Ash,RS01,女,未知,彩虹小队,彩虹小队,未知,,,1689,534,169,0,70s,12→14,1,1.0s,远程位,输出,联动寻访,"cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,90,0",普通,标准,普通,优良,优良,■■,186,速射手,优先攻击空中单位
灵知,辅助,5,Gnosis,ノーシス,JC02,男,谢拉格,,喀兰贸易,黎博利,谢拉格,喀兰贸易,2035,455,132,25,70s,11→13,1,1.6s,远程位,削弱,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,80,0",标准,标准,标准,优良,标准,优良,217,削弱者,攻击造成法术伤害
炎客,近卫,4,Flamebringer,エンカク,R137,男,卡兹戴尔,,罗德岛,萨卡兹,罗德岛,,3907,918,195,0,80s,18→20,1,1.5s,近战位,输出 生存,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","400,45,0",优良,标准,优良,标准,优良,标准,104,无畏者,能够阻挡一个敌人
